activity,trial,student,window_idx,accelerometer_y_var,accelerometer_z_var,accelerometer_y_range,accelerometer_z_min,accelerometer_y_max,accelerometer_x_max,gyroscope_y_range,gravity_z_min,gravity_y_max,gravity_x_max,gravity_x_min,gyroscope_x_range,gravity_z_median,gravity_y_min,accelerometer_z_iqr,gravity_z_var,accelerometer_x_iqr,accelerometer_z_fft_dom_freq_hz,gravity_z_max,gyroscope_z_range,gravity_z_range,gravity_y_var,gyroscope_y_var,gravity_x_rms,gravity_y_range,gravity_y_rms,accelerometer_mag_fft_dom_freq_hz,accelerometer_y_fft_dom_freq_hz,gyroscope_y_min,gyroscope_z_fft_dom_freq_hz,gyroscope_z_max,gyroscope_z_min,gyroscope_x_iqr,gravity_mag_fft_dom_freq_hz,accelerometer_z_mean,gyroscope_mag_var,gyroscope_z_var,accelerometer_mag_min,accelerometer_z_median,gyroscope_y_iqr,gyroscope_mag_median,gyroscope_mag_fft_dom_freq_hz,gravity_yz_corr,gyroscope_mag_iqr,gyroscope_mag_spec_entropy,gyroscope_z_iqr,accelerometer_y_mean,gravity_y_fft_dom_mag,gyroscope_mag_min,gyroscope_mag_fft_dom_mag
Running,3,Student1,1,180.39729229171928,49.907215745760354,54.7477090120554,-12.628463324731587,11.88018061338663,24.09448562935591,16.478644371032715,-2.4381617979139087,-8.040866946662963,5.232098104682564,-1.719688972290605,9.201061129570007,0.6401152368917129,-9.797636087939145,6.939958089225272,3.0179950997403107,10.433528208976798,6.5,3.3162845027454195,10.071062803268433,5.754446300659328,0.1871176264728977,9.36250349463158,2.672209080096135,1.756769141276182,9.257839801824003,6.5,2.5,-5.090786933898926,1.5,4.96277117729187,-5.1082916259765625,3.192010506987572,2.5,0.2192161636106727,3.8711294818792976,4.857250036632906,3.302698076534839,-1.0772954700022934,3.5751258246600623,3.1488119609968708,2.5,-0.6657606333577597,2.3127158176531992,2.9896235362154298,3.077539026737213,-2.1581228419190865,0.2210043098828225,1.296730446085644,0.6282920231310911
Running,3,Student1,2,153.05277212162713,45.66268869134141,54.28442163846493,-13.622006160292027,12.798241214722395,25.763794806104897,14.872343063354492,-2.406600976871699,-8.245407230216266,5.007234871807694,-1.765044656059891,8.799007654190063,0.8534365918643773,-9.802730196207762,6.055684460548591,1.664679341040315,10.318079546273124,6.5,2.316486040856317,9.755099058151243,4.723087017728016,0.1843342083441222,8.372392686038102,2.37692525463058,1.5573229659914958,9.409277211100592,6.5,2.5,-5.355768203735352,1.5,4.998819589614868,-4.756279468536377,2.6855758279562,2.5,-0.2382247683362029,3.2209781990820945,5.149060097454719,3.429256797772001,-1.4638911239804702,4.144849024713039,3.4871739626733005,2.5,-0.7096997426938547,2.326357972388508,3.070956513267183,3.606414251029491,-0.7419763017545192,0.1771073296558829,0.7820656453624181,0.6772324238008968
Running,3,Student1,3,177.01964983747004,40.4464578973827,58.15159215714634,-12.497407087323069,14.258276941916346,26.38159118888378,15.58722686767578,-2.350306915785,-8.061900674602388,5.083022810980678,-0.7867281408017501,9.141502022743223,0.9788427310893312,-9.804434077516197,5.142490259672794,2.1108823346028496,9.0311688275408,6.5,2.3629384338211263,9.396799087524414,4.713245349606126,0.2050037705009159,6.872369201411742,2.593952242043879,1.7425334029138089,9.326993615656688,6.5,2.5,-4.764708042144775,1.5,5.281090021133423,-4.115709066390991,2.5974500477313995,2.5,0.0639033195542358,3.2860180185218506,4.04286200411723,4.199134565676926,-0.8878314307561145,3.304258801508695,2.8555514360539966,2.5,-0.8053694081150125,1.8509195882886904,3.3808525120817525,2.763269789516926,-0.3621153073292599,0.1955284614647305,0.527032310991979,0.5188237396975057
Running,4,Student1,0,144.75088732168382,44.557908390364815,51.947897095,-12.9573773,11.38406766,25.74440855,15.66653395,-3.2951258335,-8.301316164500001,4.682048101,-1.0991653565,9.472052098,0.6672715757500001,-9.7974864505,5.2195639830000005,4.310959062321609,9.24710462125,2.5,4.08232572,8.8305084705,7.3774515535,0.1881953141530695,6.553162102058084,2.4890067469459924,1.496170285999998,9.23985292895062,6.0,2.5,-4.469481945,1.0,4.941040039000001,-3.8894684315,3.3027621510000005,3.5,0.2530918315975,2.601683457145924,3.529332593425899,2.192993949646789,-1.64981537175,2.99563645575,3.254183348254903,2.5,-0.5623930024084968,1.874799898504353,3.056245945572549,2.509663807791666,-1.88678273482,0.2475250235351083,1.0811804099816351,0.445454041704843
Running,4,Student1,1,176.9751237725294,40.03207094814279,52.46549824,-18.208506265,13.166294775,27.959808475,13.7319035515,-2.2634138640000003,-8.2044743315,4.9815422125,-1.0920474145,10.1073035005,0.84472022,-9.802008312,5.2841736715,1.6543166726675071,11.163351061375,6.5,2.5592072215,10.111263514,4.8226210855,0.2262208803719754,5.901379644674154,2.4618670640101312,1.5975339804999995,9.39081113305461,4.0,2.5,-4.288341999,2.5,5.5898923875,-4.5213711265,2.45574210575,2.5,-0.3785570580625,2.749174110291603,4.658076589404615,2.8312730078634147,-1.4142973825,3.33689136825,2.9828734420338945,2.5,-0.7855123735540863,1.8660971078558932,3.0191959634288263,2.549593791,-1.22608219714,0.2056069897315575,0.7439813841428902,0.5652328314376338
Running,4,Student1,2,156.18848744162986,52.09511948141131,49.018618835000005,-14.20460497,12.907642085,26.3830712,13.0883384925,-2.3459925595,-8.1015356425,5.0279237315,-1.0572009955,10.39310956,-0.1063759115,-9.8037317745,5.46492493225,1.9454880029044903,11.685029833875,9.0,2.286323396,9.806001901999998,4.632315955499999,0.2949426431534206,6.106648121418154,2.8485519550299627,1.7021961319999992,9.278808866213264,6.5,2.5,-3.7933644055,1.5,5.389609098499999,-4.4163928035,2.597744658625,4.0,0.1847841247174999,3.579537162744609,5.004570349543386,2.979356568345721,-1.1174586995000002,3.2797753658749995,3.0205957119521774,2.5,-0.789443324596657,2.2683627328963727,3.059520379670207,2.92005082975,-2.051945566045,0.2315168602815752,0.3317581619081031,0.6066990456085521
Running,4,Student1,3,209.26800150872617,40.52574633637782,56.322492815,-14.094081235,13.747159895,30.604843675,14.265389321,-1.995475752,-8.2196634245,5.0241190785,-0.6263089755,10.442438364,0.91795615475,-9.8042929155,4.745153824125,1.302151087745537,11.506863115,6.5,1.9072150655,8.765152096,3.9026908175,0.2002641270687337,5.91225507727938,2.335510155559774,1.5846294909999994,9.43744976269798,6.5,2.5,-3.94565475,1.5,5.228025435999999,-3.53712666,2.222268663375,2.5,-0.4605373824299998,3.232803016683815,3.653641429996168,3.5364728111070978,-1.354896058,3.0410719515,2.6953949849414176,2.5,-0.7932146053593384,1.8650054549639696,3.2256263212884395,2.509803295,-1.67035376125,0.1880751611324081,0.6459870951567789,0.5471419210453844
Running,4,Student1,4,73.58159547540049,21.327624004358963,58.9383481,-17.880545065,12.431736055,23.98001988,12.305271029,-1.377714075,-8.776682683,4.305876847,-2.2093486585,9.1623560195,0.63732445525,-9.7800337955,3.54324447975,1.3347335705595382,4.665210509625,6.5,2.886059733,7.3078380825,4.263773808,0.0707988139554935,2.850974777882921,1.9080405732400791,1.003351112499999,9.505549276642329,0.5,2.5,-3.643675208,2.0,4.120230675,-3.1876074075,1.031820368125,0.5,-0.5845840029725,2.5473491474664263,1.8932505584352588,0.279685618608367,-1.1310818407499998,1.66972305625,1.3522276837460645,0.5,-0.1607814527104089,1.826635965128064,2.8266311387235583,0.715475449625,-0.9773956594375,0.1283326790800456,0.1492856605741903,0.5474424908919436
Running,5,Student2,0,16.549425271521763,4.975613077359626,30.156437397003177,-13.045681635538736,8.16398286819458,4.218153794606526,5.960415919621785,2.275977611541748,-4.128331422805786,4.6891608238220215,1.5415087342262268,4.862691005071005,7.429991801579792,-8.798331578572592,2.460182905197144,4.308562997493606,2.5201097130775447,1.5,8.024495124816895,5.077104608217875,5.7485175132751465,2.622789979109953,0.9374334787021016,3.286731787666124,4.670000155766806,6.653745306833732,1.5,0.5,-3.603290557861328,1.5,3.2120057741800943,-1.8650988340377803,0.8697448385258514,0.5,-6.764906209309896,0.8695342106267229,0.8698329620457627,5.255886206593742,-6.7321654955546055,0.8362745301177104,1.468382053857227,0.5,0.941730912715978,1.6388896459150506,2.281000106271008,0.8362235948443412,-3.013525454600652,1.0435575760644449,0.075051577841932,0.3656673652889293
Running,5,Student2,1,55.44597756010129,24.70907796335356,41.15067927042644,-17.10503896077474,19.49930763244629,2.0148720741271973,8.914356708526611,-0.7380131483078003,-6.356714248657227,4.460046768188477,2.179301619529724,7.074226935704549,3.312353571256001,-9.358937740325928,6.83144403497378,4.865450387519829,4.861976852019628,4.0,6.257800738016765,4.761083761850992,6.995813886324565,0.7846558280168122,3.2907472760227243,3.637988055692453,3.002223491668701,8.287379626933058,6.0,2.5,-4.116621017456055,5.0,2.043420632680257,-2.717663129170736,3.353955616553624,2.0,-5.593033761853973,1.4823774030849235,0.8446512932101063,2.045291967638994,-5.000541051228841,2.6435956805944443,2.5434267173340177,2.0,0.9027154261935512,1.945039331031628,2.5009248692183563,1.1336131803691387,-1.0582270952065784,0.5555761268377223,0.2890068709031568,0.5298124325029667
