seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
1.0700,0.1098,0.2432,0.2215,9.1321,3.5700,0.1752,0.0123,0.0750,0.0054
1.0800,0.1573,0.1984,0.1793,9.1309,3.5733,0.1695,0.0130,0.1131,0.0024
1.0900,0.1080,0.1390,0.1335,9.1300,3.5760,0.1610,0.0046,0.1359,-0.0055
1.1000,0.0271,0.0932,0.0530,9.1294,3.5779,0.1513,-0.0050,0.1398,-0.0080
1.1100,-0.0553,0.0322,-0.0515,9.1288,3.5799,0.1409,-0.0109,0.1365,0.0014
1.1200,-0.1311,-0.0125,-0.1442,9.1280,3.5822,0.1306,-0.0172,0.1113,0.0154
1.1300,-0.1802,-0.0063,-0.2044,9.1268,3.5856,0.1222,-0.0215,0.0677,0.0325
1.1400,-0.2384,0.0198,-0.2338,9.1252,3.5899,0.1173,-0.0184,0.0117,0.0437
1.1500,-0.2675,0.0569,-0.2308,9.1232,3.5950,0.1175,-0.0048,-0.0406,0.0504
1.1600,-0.2756,0.0960,-0.1894,9.1209,3.6006,0.1215,0.0093,-0.0701,0.0433
1.1700,-0.2417,0.1389,-0.1024,9.1189,3.6056,0.1279,0.0191,-0.0913,0.0250
1.1800,-0.1556,0.1538,0.0033,9.1174,3.6091,0.1356,0.0244,-0.0972,-0.0003
1.1900,-0.0447,0.1403,0.0735,9.1167,3.6106,0.1436,0.0262,-0.0915,-0.0247
1.2000,0.0941,0.1424,0.1304,9.1167,3.6101,0.1513,0.0223,-0.0830,-0.0377
1.2100,0.1903,0.1477,0.1359,9.1171,3.6088,0.1586,0.0144,-0.0722,-0.0324
1.2200,0.2181,0.1116,0.1377,9.1172,3.6082,0.1648,0.0077,-0.0565,-0.0137
1.2300,0.1985,0.1052,0.1504,9.1168,3.6090,0.1696,0.0036,-0.0382,0.0101
1.2400,0.1645,0.1106,0.1034,9.1157,3.6116,0.1728,0.0009,-0.0150,0.0323
1.2500,0.0872,0.1182,0.0537,9.1140,3.6160,0.1737,-0.0007,0.0005,0.0529
1.2600,-0.0365,0.1034,0.0158,9.1116,3.6220,0.1741,-0.0031,-0.0078,0.0692
1.2700,-0.0799,0.0890,0.0017,9.1087,3.6292,0.1755,-0.0015,-0.0196,0.0761
1.2800,-0.1805,0.0766,-0.0196,9.1056,3.6368,0.1776,0.0048,-0.0196,0.0688
1.2900,-0.1835,0.0582,-0.0088,9.1030,3.6432,0.1796,0.0158,-0.0205,0.0414
1.3000,-0.1565,0.0486,-0.0058,9.1015,3.6468,0.1818,0.0185,-0.0294,0.0226
1.3100,-0.1385,0.0684,-0.0094,9.1003,3.6498,0.1858,0.0082,-0.0278,0.0124
1.3200,-0.1114,0.0930,-0.0240,9.0995,3.6515,0.1880,0.0007,-0.0235,0.0081
1.3300,-0.0324,0.1151,-0.0180,9.0988,3.6533,0.1904,-0.0004,-0.0269,-0.0041
1.3400,-0.0014,0.1277,0.0447,9.0985,3.6539,0.1923,0.0022,-0.0319,-0.0131
1.3500,-0.0002,0.1362,0.0937,9.0985,3.6538,0.1960,0.0018,-0.0409,-0.0185
1.3600,-0.0134,0.1185,0.0773,9.0985,3.6536,0.1992,-0.0027,-0.0427,-0.0135
1.3700,-0.0485,0.1031,0.0262,9.0981,3.6542,0.2036,-0.0095,-0.0302,-0.0014
1.3800,-0.0556,0.0904,-0.0069,9.0976,3.6553,0.2057,-0.0082,-0.0164,-0.0017
1.3900,-0.0196,0.0792,-0.0130,9.0971,3.6566,0.2069,-0.0035,-0.0066,-0.0129
1.4000,-0.0277,0.0795,0.0056,9.0972,3.6563,0.2074,-0.0005,-0.0076,-0.0247
1.4100,-0.0289,0.0686,0.0103,9.0976,3.6552,0.2083,-0.0005,-0.0105,-0.0239
1.4200,0.0164,0.0620,0.0070,9.0978,3.6546,0.2092,-0.0023,-0.0103,-0.0137
1.4300,0.0252,0.0708,-0.0107,9.0978,3.6546,0.2102,-0.0046,-0.0160,-0.0082
1.4400,0.0357,0.0785,-0.0122,9.0977,3.6549,0.2117,-0.0052,-0.0221,-0.0033
1.4500,0.0361,0.0730,0.0075,9.0973,3.6556,0.2136,-0.0037,-0.0219,0.0028
1.4600,0.0437,0.0670,0.0321,9.0968,3.6568,0.2153,0.0011,-0.0174,0.0089
1.4700,0.0500,0.0646,0.0394,9.0961,3.6583,0.2168,0.0032,-0.0125,0.0148
1.4800,0.0109,0.0786,0.0397,9.0953,3.6604,0.2180,0.0016,-0.0142,0.0205
1.4900,-0.0542,0.0728,0.0103,9.0942,3.6629,0.2195,0.0005,-0.0158,0.0242
1.5000,-0.0779,0.0725,-0.0102,9.0931,3.6656,0.2209,0.0026,-0.0099,0.0219
1.5100,-0.1000,0.0709,-0.0214,9.0921,3.6680,0.2217,0.0054,-0.0050,0.0158
1.5200,-0.0801,0.0611,-0.0165,9.0914,3.6699,0.2224,0.0075,-0.0097,0.0067
1.5300,-0.1044,0.0824,-0.0004,9.0909,3.6709,0.2238,0.0036,-0.0213,-0.0007
1.5400,-0.0618,0.0898,-0.0234,9.0906,3.6715,0.2261,-0.0034,-0.0208,-0.0029
1.5500,-0.0113,0.0904,-0.0334,9.0904,3.6721,0.2273,-0.0044,-0.0119,-0.0023
1.5600,0.0058,0.0909,-0.0305,9.0901,3.6728,0.2281,-0.0037,-0.0153,-0.0044
1.5700,0.0144,0.0820,-0.0280,9.0898,3.6733,0.2291,-0.0025,-0.0226,-0.0060
1.5800,0.0374,0.0792,0.0050,9.0896,3.6737,0.2308,-0.0007,-0.0260,-0.0096
1.5900,0.0495,0.0825,0.0329,9.0894,3.6740,0.2328,0.0021,-0.0189,-0.0108
1.6000,0.0318,0.0689,0.0469,9.0892,3.6744,0.2344,0.0048,-0.0061,-0.0066
1.6100,0.0057,0.0695,0.0737,9.0889,3.6751,0.2351,0.0057,0.0018,-0.0002
1.6200,0.0050,0.0743,0.0662,9.0885,3.6762,0.2354,0.0039,0.0021,0.0063
1.6300,-0.0242,0.0630,0.0443,9.0878,3.6780,0.2358,0.0008,0.0015,0.0105
1.6400,-0.0581,0.0477,0.0308,9.0869,3.6800,0.2362,-0.0019,0.0101,0.0115
1.6500,-0.0476,0.0157,0.0061,9.0860,3.6822,0.2357,-0.0047,0.0208,0.0035
1.6600,-0.0101,0.0204,-0.0270,9.0856,3.6834,0.2341,-0.0083,0.0232,-0.0090
1.6700,0.0270,0.0468,-0.0513,9.0857,3.6834,0.2320,-0.0089,0.0171,-0.0130
1.6800,0.0375,0.0533,-0.0495,9.0859,3.6829,0.2303,-0.0050,0.0034,-0.0072
1.6900,0.0087,0.0462,-0.0203,9.0860,3.6828,0.2298,0.0015,-0.0125,0.0041
1.7000,-0.0005,0.0082,0.0193,9.0856,3.6837,0.2309,0.0082,-0.0220,0.0179
1.7100,0.0195,-0.0058,0.0828,9.0847,3.6856,0.2332,0.0103,-0.0223,0.0249
1.7200,0.0206,0.0098,0.1139,9.0837,3.6881,0.2357,0.0069,-0.0082,0.0243
1.7300,0.0563,0.0098,0.0983,9.0827,3.6904,0.2369,0.0018,0.0076,0.0209
1.7400,0.0846,0.0150,0.0650,9.0819,3.6924,0.2367,-0.0010,0.0089,0.0154
1.7500,0.0565,0.0315,0.0175,9.0813,3.6939,0.2363,-0.0028,-0.0009,0.0099
1.7600,-0.0006,0.0329,0.0099,9.0809,3.6949,0.2367,-0.0025,-0.0134,0.0084
1.7700,-0.0732,0.0500,0.0157,9.0805,3.6957,0.2381,0.0015,-0.0168,0.0118
1.7800,-0.0954,0.0704,0.0019,9.0800,3.6969,0.2399,0.0048,-0.0137,0.0115
1.7900,-0.1080,0.0846,-0.0165,9.0794,3.6982,0.2415,0.0036,-0.0183,0.0069
1.8000,-0.1566,0.0966,-0.0388,9.0789,3.6994,0.2435,-0.0019,-0.0232,0.0069
1.8100,-0.1511,0.0819,-0.0852,9.0782,3.7009,0.2456,-0.0056,-0.0195,0.0063
1.8200,-0.1204,0.0813,-0.1188,9.0774,3.7027,0.2469,-0.0050,-0.0119,-0.0060
1.8300,-0.1080,0.0910,-0.0999,9.0769,3.7038,0.2471,-0.0031,0.0000,-0.0234
1.8400,-0.1080,0.1102,-0.0724,9.0770,3.7038,0.2460,-0.0031,0.0116,-0.0392
1.8500,-0.0953,0.1135,-0.0544,9.0774,3.7029,0.2436,-0.0053,0.0174,-0.0564
1.8600,-0.0474,0.0935,-0.0373,9.0786,3.7001,0.2408,-0.0083,0.0159,-0.0716
1.8700,-0.0003,0.0564,-0.0481,9.0806,3.6953,0.2384,-0.0077,0.0107,-0.0802
1.8800,0.0512,0.0105,-0.0355,9.0830,3.6897,0.2366,-0.0010,0.0055,-0.0768
1.8900,0.1231,-0.0017,0.0207,9.0853,3.6840,0.2355,0.0088,-0.0021,-0.0612
1.9000,0.1822,-0.0066,0.0648,9.0872,3.6793,0.2357,0.0152,-0.0168,-0.0423
1.9100,0.2120,-0.0104,0.0557,9.0886,3.6759,0.2376,0.0134,-0.0373,-0.0261
1.9200,0.2112,-0.0165,0.0303,9.0893,3.6737,0.2414,0.0063,-0.0556,-0.0197
1.9300,0.1688,-0.0315,0.0190,9.0899,3.6719,0.2467,-0.0025,-0.0657,-0.0249
1.9400,0.0818,-0.0424,0.0180,9.0907,3.6697,0.2526,-0.0102,-0.0519,-0.0286
1.9500,0.0115,-0.0303,0.0352,9.0916,3.6671,0.2569,-0.0111,-0.0247,-0.0267
1.9600,-0.0014,0.0128,0.0333,9.0925,3.6647,0.2588,-0.0071,-0.0159,-0.0331
1.9700,0.0166,0.0529,-0.0229,9.0937,3.6617,0.2599,-0.0001,-0.0244,-0.0484
1.9800,0.0304,0.0669,-0.0957,9.0954,3.6573,0.2621,0.0131,-0.0342,-0.0579
1.9900,0.0871,0.0613,-0.1339,9.0974,3.6521,0.2656,0.0335,-0.0449,-0.0487
2.0000,0.1789,0.0345,-0.1963,9.0990,3.6478,0.2705,0.0555,-0.0690,-0.0228
2.0100,0.2717,0.0006,-0.2396,9.0995,3.6457,0.2779,0.0717,-0.1005,0.0090
2.0200,0.4422,-0.0143,-0.1885,9.0990,3.6463,0.2879,0.0842,-0.1368,0.0341
2.0300,0.5824,0.0216,-0.0877,9.0976,3.6487,0.3008,0.0952,-0.1939,0.0502
2.0400,0.4970,0.0878,0.0389,9.0957,3.6519,0.3190,0.1007,-0.2550,0.0677
2.0500,0.2256,0.1131,0.1895,9.0930,3.6566,0.3432,0.0943,-0.2737,0.0909
2.0600,-0.0100,0.1217,0.3188,9.0891,3.6636,0.3696,0.0766,-0.2495,0.1003
2.0700,-0.1002,0.1480,0.3073,9.0847,3.6719,0.3942,0.0546,-0.2257,0.0903
2.0800,-0.1499,0.1761,0.1450,9.0805,3.6798,0.4164,0.0366,-0.2062,0.0927
2.0900,-0.1839,0.1834,0.0329,9.0762,3.6881,0.4363,0.0311,-0.1701,0.1223
2.1000,-0.1318,0.2320,-0.0108,9.0709,3.6993,0.4526,0.0405,-0.1286,0.1669
2.1100,-0.1387,0.3155,0.0562,9.0622,3.7187,0.4666,0.0569,-0.1013,0.1985
2.1200,-0.1953,0.3458,0.1577,9.0566,3.7315,0.4736,0.0651,-0.0923,0.2068
2.1300,-0.2389,0.3057,0.3045,9.0463,3.7549,0.4856,0.0714,-0.0809,0.1972
2.1400,-0.0913,0.2033,0.3529,9.0375,3.7747,0.4958,0.0570,-0.0809,0.1385
2.1500,0.2542,0.2449,0.1939,9.0308,3.7893,0.5064,0.0280,-0.1002,0.0454
2.1600,0.4789,0.3322,-0.0784,9.0276,3.7954,0.5177,-0.0016,-0.1439,-0.0444
2.1700,0.4823,0.2542,-0.1551,9.0277,3.7932,0.5310,-0.0208,-0.1720,-0.0759
2.1800,0.4977,0.0811,0.0077,9.0291,3.7879,0.5454,-0.0266,-0.1817,-0.0353
2.1900,0.3098,-0.0256,0.2452,9.0291,3.7857,0.5604,-0.0248,-0.1943,0.0560
2.2000,-0.1191,-0.1196,0.4059,9.0258,3.7911,0.5769,-0.0178,-0.1833,0.1804
2.2100,-0.5840,-0.2580,0.4281,9.0179,3.8074,0.5930,-0.0037,-0.1451,0.2928
2.2200,-1.0376,-0.3454,0.3081,9.0058,3.8337,0.6065,0.0155,-0.0919,0.3517
2.2300,-1.2845,-0.3576,0.1360,8.9918,3.8651,0.6158,0.0381,-0.0415,0.3435
2.2400,-1.2793,-0.3666,0.0968,8.9782,3.8956,0.6214,0.0540,-0.0223,0.2601
2.2500,-1.1087,-0.3572,0.1798,8.9679,3.9185,0.6259,0.0436,-0.0293,0.1193
2.2600,-0.8883,-0.3041,0.2877,8.9631,3.9289,0.6305,-0.0007,-0.0247,-0.0368
2.2700,-0.7603,-0.2924,0.4024,8.9643,3.9256,0.6331,-0.0709,0.0229,-0.1822
2.2800,-0.5389,-0.2861,0.3683,8.9715,3.9098,0.6289,-0.1571,0.1402,-0.3392
